record_id,molecule,molecular_formula,outer_fold
HC-0093,"4-Octene, (4Z)-",C8H16,5
HC-0094,"5-Undecene, (5E)-",C11H22,2
HC-0095,"5-Undecene, (5Z)-",C11H22,2
HC-0096,"2,6-dimethyldecane",C12H26,4
HC-0097,"2,6-dimethylnonane",C11H24,1
HC-0098,trans-3-Heptene,C7H14,4
HC-0099,trans-3-Hexene,C6H12,2
HC-0100,"beta-Ocimene, (3E)-",C10H16,3
HC-0101,"beta-Ocimene, (3Z)-",C10H16,3
HC-0102,Farnesene,C15H24,3
HC-0104,Myrcene,C10H16,3
HC-0105,3-methyldecane,C11H24,1
HC-0106,"(1S,7S,8aR)-1,2,3,4,6,7,8,8a-Octahydro-1,8a-dimethyl-7-(1-methylethenyl)naphthalene",C15H24,3
HC-0107,"1,2-Dicyclohexylethane",C14H26,1
HC-0108,3-Carene,C10H16,3
HC-0109,"alpha-Pinene, (+)-",C10H16,3
HC-0110,"Amorpha-4,11-diene",C15H24,3
HC-0111,beta-Cadinene,C15H24,3
HC-0112,"3,5-dimethylnonane",C11H24,1
HC-0113,Cadinane,C15H28,3
HC-0114,"3,6-dimethylnonane",C11H24,1
HC-0115,Carane,C10H18,1
HC-0116,Dicyclopentyl,C10H18,1
HC-0117,"rel-(3aR,7aS)-Octahydro-1H-indene",C9H16,2
HC-0118,Thujane,C10H18,1
HC-0119,Valencene,C15H24,3
HC-0120,"2,2,3,3-Tetramethylbutane",C8H18,4
HC-0121,"2,2,4,4-Tetramethylpentane",C9H20,1
HC-0122,"2,2,4,6,6-Pentamethylheptane",C12H26,4
HC-0123,"2,3,3-Trimethylpentane",C8H18,4
HC-0124,"2,4,6-Trimethyloctane",C11H24,1
HC-0125,"2,6-Dimethylheptane",C9H20,1
HC-0126,"2,6-Dimethyloctane",C10H22,2
HC-0127,"2,7-Dimethylnonane",C11H24,1
HC-0128,"2,7-Dimethyloctane",C10H22,2
HC-0129,2-Methyldecane,C11H24,1
HC-0130,2-Methyloctane,C9H20,1
HC-0131,3-Ethylnonane,C11H24,1
HC-0132,3-Ethyloctane,C10H22,2
HC-0133,3-Ethylpentane,C7H16,3
HC-0134,3-Methylnonane,C10H22,2
HC-0135,3-Methyloctane,C9H20,1
HC-0136,4-Methylnonane,C10H22,2
HC-0137,Farnesane,C15H32,5
HC-0138,"Heptane, 2,3,6-trimethyl-",C10H22,2
HC-0139,(+)-Limonene,C10H16,3
HC-0140,"1,1,3-Trimethylcyclopentane",C8H16,5
HC-0141,"1,1-Dimethylcyclohexane",C8H16,5
HC-0142,"1,2,4-Trimethylcyclohexane",C9H18,5
HC-0143,"1,2-Dimethylcyclohexane, cis-",C8H16,5
HC-0144,"1,3-Diethylcyclopentane, cis",C9H18,5
HC-0145,"1,3-Dimethylcyclohexane, cis-",C8H16,5
HC-0146,1-Ethyl-1-methylcyclopentane,C8H16,5
HC-0147,1-Methyl-4-isopropylcyclohexane,C10H20,2
HC-0148,"2-Butyl-1,1,3-trimethylcyclohexane",C13H26,1
HC-0149,Beta-Bisabolene,C15H24,3
HC-0150,Bisabolane,C15H30,1
HC-0151,Butylcyclopentane,C9H18,5
HC-0152,"cis-1,3-Dimethylcyclopentane",C7H14,4
HC-0153,Cyclogeraniolane,C9H18,5
HC-0154,Cyclohexene,C6H10,1
HC-0155,"Cyclohexene, 4-methyl-1-(1-methylethyl)-",C10H18,1
HC-0156,Cyclopentene,C5H8,5
HC-0157,gamma-Bisabolene,C15H24,3
HC-0158,Gamma-Terpinene,C10H16,3
HC-0159,Isopropylcyclohexane,C9H18,5
HC-0160,Nonylcyclohexane,C15H30,1
HC-0161,Pentylcyclohexane,C11H22,2
HC-0162,"5-Methyl-1,2,3,4-tetrahydronaphthalene",C11H14,3
HC-0163,Alpha-Methylstyrene,C9H10,4
HC-0164,"Benzene, 1-methyl-3-propyl-",C10H14,5
HC-0165,Dodecylbenzene,C18H30,4
HC-0166,"3,7-dimethyldecane",C12H26,4
HC-0167,Hexylbenzene,C12H18,2
HC-0168,Octylbenzene,C14H22,3
HC-0169,Styrene,C8H8,2
HC-0170,Tert-Butylbenzene,C10H14,5
HC-0171,Tridecylbenzene,C19H32,2
HC-0172,Undecylbenzene,C17H28,5
HC-0173,4-methyldecane,C11H24,1
HC-0175,4-propyldecane,C13H28,2
HC-0176,Dicyclopentadiene,C10H12,1
HC-0177,"4,5-dimethylnonane",C11H24,1
HC-0178,"1,6-Dimethylnaphthalene",C12H12,3
HC-0180,1-Ethylnaphthalene,C12H12,3
HC-0181,1-Propylnaphthalene,C13H14,5
HC-0182,2-Methylnaphthalene,C11H10,5
HC-0183,"4,6-dimethyldecane",C12H26,4
HC-0184,5-butylnonane,C13H28,2
HC-0185,5-methyldecane,C11H24,1
HC-0186,1-ethyl-2-methylcycloheptane,C10H20,2
HC-0187,1-isopropyl-2-methylcyclohexane,C10H20,2
HC-0188,1-isopropyl-3-methylcyclohexane,C10H20,2
HC-0189,"1,2-diethylcyclohexane",C10H20,2
HC-0190,"1,3-diethylcyclohexane",C10H20,2
HC-0191,"2,4-Dimethylhept-2-ene",C9H18,5
HC-0192,(-)-beta-Pinene,C10H16,3
HC-0193,2-methylbutan-2-ylcyclohexane,C11H22,2
HC-0194,Cyclopentylcyclohexane,C11H20,4
HC-0195,Spiro(4.5)decane,C10H18,1
HC-0196,"2,10-Dimethylundecane",C13H28,2
HC-0197,"2,3,4-Trimethylpentane",C8H18,4
HC-0198,"2,3,5,6-Tetramethyloctane",C12H26,4
HC-0199,"2,3-Dimethylpentane",C7H16,3
HC-0200,"2,5,7-Trimethylnonane",C12H26,4
HC-0201,2-Methylpentadecane,C16H34,5
HC-0202,2-methylbutylcyclohexane,C11H22,2
HC-0203,"4,5-Diethyloctane",C12H26,4
HC-0204,"Octadecane, 3-ethyl",C20H42,2
HC-0205,"1,1,2,3-Tetramethylcyclohexane",C10H20,2
HC-0206,"1,5,5-Trimethylcyclopentene",C8H14,4
HC-0207,"1-Ethyl-5,5-dimethylcyclopenta-1,3-diene",C9H14,3
HC-0208,Isopropylcyclopentane,C8H16,5
HC-0209,Pentylcyclopentane,C10H20,2
HC-0210,tert-Butylcyclohexane,C10H20,2
HC-0211,"1,3,5-Triisopropylbenzene",C15H24,3
HC-0212,"4,7-Dimethylindan",C11H14,3
HC-0213,Pentylbenzene,C11H16,1
HC-0214,Dihydromyrcene,C10H18,1
HC-0215,(-)-alpha-Pinene,C10H16,3
HC-0216,1-Methylnorbornane,C8H14,4
HC-0217,Spiro[5.6]dodecane,C12H22,1
HC-0218,"2,3-Dimethylheptane",C9H20,1
HC-0219,"2,3-Dimethylnonane",C11H24,1
HC-0220,"2,5-Dimethyldecane",C12H26,4
HC-0221,"2,5-Dimethyloctane",C10H22,2
HC-0222,"2,5-Dimethylundecane",C13H28,2
HC-0223,2-Methyloctadecane,C19H40,5
HC-0224,2-Methyltetradecane,C15H32,5
HC-0225,"3,5-Dimethylheptane",C9H20,1
HC-0226,"3,6-Dimethyloctane",C10H22,2
HC-0227,3-Methylundecane,C12H26,4
HC-0228,4-Methyloctane,C9H20,1
HC-0229,5-Ethyl-3-methylnonane,C12H26,4
HC-0230,5-Methylundecane,C12H26,4
HC-0231,6-Methyldodecane,C13H28,2
HC-0232,7-Methylhexadecane,C17H36,4
HC-0233,9-Methylheptadecane,C18H38,2
HC-0234,"1,1-Diethylcyclohexane",C10H20,2
HC-0235,"1,3,5-Triisopropylcyclohexane",C15H30,1
HC-0236,"1,3,5-Trimethylcyclohexane",C9H18,5
HC-0237,"1,4-Diisopropylcyclohexane",C12H24,5
HC-0238,1-Methyl-3-propylcyclohexane,C10H20,2
HC-0239,Cyclododecene (stereochemistry unspecified),C12H22,1
HC-0240,3-Ethyltoluene,C9H12,5
HC-0241,Cyclopentylbenzene,C11H14,3
HC-0242,Heptylbenzene,C13H20,4
HC-0243,Isobutylbenzene,C10H14,5
HC-0244,n-Nonylbenzene,C15H24,3
HC-0245,butan-2-ylcyclohexane,C10H20,2
HC-0246,1-Ethyladamantane,C12H20,3
HC-0247,ethylcyclooctane,C10H20,2
HC-0248,Dicyclopropylmethylcyclopropane,C10H16,3
HC-0249,exo-Tetrahydrodicyclopentadiene,C10H16,3
HC-0250,Perhydrofluorene,C13H22,2
HC-0251,pentan-2-ylcyclohexane,C11H22,2
HC-0252,"Tricyclo(2.2.1.02,6)heptane",C7H10,4
HC-0253,"Tricyclo(4.1.0.02,4)-heptane",C7H10,4
HC-0254,propylcycloheptane,C10H20,2
HC-0255,"2,2,3,5,5,6,6-Heptamethyl-hept-3-ene",C14H28,3
HC-0256,1-Decyne,C10H18,1
HC-0257,1-Heptyne,C7H12,4
HC-0258,1-Hexyne,C6H10,1
HC-0259,1-Nonyne,C9H16,2
HC-0260,1-Octyne,C8H14,4
HC-0261,1-methyl-4-prop-1-en-2-ylcyclohexene,C10H16,3
HC-0262,"1,1'-Bicyclobutyl",C8H14,4
HC-0263,Bicyclo(3.2.1)octane,C8H14,4
HC-0264,Norbornene,C7H10,4
HC-0265,Octahydropentalene,C8H14,4
HC-0266,"2,2,6-Trimethyloctane",C11H24,1
HC-0267,"2,2,7-Trimethyloctane",C11H24,1
HC-0268,"2,3-Dimethyl-pentadecane",C17H36,4
HC-0269,"2,3-Dimethylheptadecane",C19H40,5
HC-0270,"2,4,8-Trimethylnonane",C12H26,4
HC-0271,"2,5-Dimethylnonane",C11H24,1
HC-0272,2-Methylundecane,C12H26,4
HC-0273,"3,4-Dimethyloctane",C10H22,2
HC-0274,"Octane, 2,3,7-trimethyl-",C11H24,1
HC-0275,"Tetradecane, 7,8-diethyl",C18H38,2
HC-0276,"1,1,3-Trimethyl-4-pentylcyclohexane",C14H28,3
HC-0277,"1,1,5-Trimethyl-2-pentylcyclohexane",C14H28,3
HC-0278,"1,3-Diisopropylcyclohexane",C12H24,5
HC-0279,"1,3-Dipentylcyclopentane",C15H30,1
HC-0280,"1,4-Dimethylcyclooctane",C10H20,2
HC-0281,"1,6-Dimethyl-1,5-cyclooctadiene",C10H16,3
HC-0282,Cyclononane,C9H18,5
HC-0283,Humulene,C15H24,3
HC-0284,"1,2-Dihydronaphthalene",C10H10,5
HC-0285,2-Phenyldodecane,C18H30,4
HC-0286,(3-cyclopentylcyclopentyl)methylcyclohexane,C17H30,4
HC-0287,"1,1':3',1''-Tercyclohexane",C18H32,3
HC-0288,"1,3-Dicyclopentylcyclopentane",C15H26,4
HC-0289,"1-methyl-2,3,4,4a,4b,5,6,7,8,8a,9,9a-dodecahydro-1H-fluorene",C14H24,2
HC-0290,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",C10H16,3
HC-0291,2-Ethyladamantane,C12H20,3
HC-0292,2-Propyladamantane,C13H22,2
HC-0293,3-methylundec-1-ene,C12H24,5
HC-0294,4-methylundec-1-ene,C12H24,5
HC-0295,"spiro[bicyclo[3.1.1]heptane-3,1'-cyclopentane]",C11H18,4
HC-0296,"Spiro[cyclopentane-1,2'-norbornane]",C11H18,4
HC-0297,"Tetracyclo[4.3.0.02,5.07,9]nonane",C9H12,5
HC-0298,"Tricyclo(3.1.0.02,6)hex-3-ene",C6H6,5
HC-0299,dodec-1-ene,C12H24,5
HC-0300,"1,4-Dimethylnaphthalene",C12H12,3
HC-0301,"1,5-Dimethylnaphthalene",C12H12,3
HC-0302,"1,8-Dimethylnaphthalene",C12H12,3
HC-0303,"1-(1,2-dimethylpropyl)benzene",C11H16,1
HC-0304,"2,3-Dimethylnaphthalene",C12H12,3
HC-0305,"2,6-Dimethylnaphthalene",C12H12,3
HC-0306,"2,7-Dimethylnaphthalene",C12H12,3
HC-0307,2-methylbutylbenzene,C11H16,1
HC-0308,3-methylbutylbenzene,C11H16,1
HC-0309,pentan-2-ylbenzene,C11H16,1
HC-0310,pentan-3-ylbenzene,C11H16,1
