provenance_id,record_id,partition,molecule_name,inchikey,property_code,property_name,final_value,unit,value_origin_class,high_confidence_source_subset,reference_ids,primary_reference_id,source_category,publisher_or_host,doi,url,citation_or_web_title,value_basis,measurement_conditions_or_method_note,conditions_status,quality_grade,verification_note,provenance_reconstruction_basis
PV-00801,HC-0123,development,"2,3,3-Trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,Y03,Density,0.72066,g cm^-3,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ρ = M / (16.03 + 7.01C + 4.80H),Formula-only molar-volume model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9943 against its literature training set; treat as estimated, not experimental.",identity + property + reference matched to the audited prior provenance table
PV-00802,HC-0123,development,"2,3,3-Trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-101.15,degC,evaluated or compiled literature value,True,REF-0305,REF-0305,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C560214&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 14 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 14 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00803,HC-0123,development,"2,3,3-Trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,Y05,Boiling point,114.65,degC,evaluated or compiled literature value,True,REF-0306,REF-0306,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C560214&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 18 out of 21 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 18 out of 21 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00804,HC-0123,development,"2,3,3-Trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,Y06,Flash point,6.61,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
PV-00805,HC-0123,development,"2,3,3-Trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,0.7021,mm^2 s^-1,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table value standardized to 40 degC,Reference temperature: 40 degC (313.15 K). Original record-level method was not retained.,partly reported,not reassessed,,reference registry mapping only
PV-00806,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.0,MJ kg^-1,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ΔHlow(kJ mol^-1)=431.4C+88.85H; NHOC=ΔHlow/M,Formula-only LHV model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9979 against its literature training set; treat as estimated, not calorimetric.",identity + property + reference matched to the audited prior provenance table
PV-00807,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,32.516,MJ L^-1,constructed from Y01 and Y03,False,REF-0001/REF-0004,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00808,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y03,Density,0.739,g cm^-3,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected value at 20 °C,Original source label: Scifinder; flag: predicted,reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00809,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-66.1,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,Original source label: EPI Suite Chemspider; flag: predicted,reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00810,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y05,Boiling point,168.5,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,Original source label: Scifinder; flag: measured,reported,A,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00811,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y06,Flash point,43.39,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
PV-00812,HC-0124,development,"2,4,6-Trimethyloctane",XHNIFDXYGLPJLP-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,0.9031,mm^2 s^-1,formula or correlation estimate,False,REF-0482,REF-0482,official software documentation,National Laboratory of the Rockies / FuelLib,,https://natlabrockies.github.io/FuelLib/fuelprops.html,FuelLib fuelprops documentation — Dutt equation for kinematic viscosity at 40 °C.,Dutt correlation evaluated for 40 degC,Correlation-derived value at 40 degC; not an experimental viscosity measurement.,not applicable,D,,reference registry mapping only
PV-00813,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.126,MJ kg^-1,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ΔHlow(kJ mol^-1)=431.4C+88.85H; NHOC=ΔHlow/M,Formula-only LHV model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9979 against its literature training set; treat as estimated, not calorimetric.",identity + property + reference matched to the audited prior provenance table
PV-00814,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,31.7839578,MJ L^-1,constructed from Y01 and Y03,False,REF-0001/REF-0004,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00815,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y03,Density,0.7203,g cm^-3,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected value at 11 °C,Original source label: Scifinder; flag: measured,reported,A,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00816,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-102.9,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,Original source label: Scifinder; flag: measured,reported,A,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00817,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y05,Boiling point,135.2,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,"Original source label: Scifinder, also has 206C @ 760mmHg listed; flag: measured",reported,A,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00818,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y06,Flash point,20.64,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
PV-00819,HC-0125,development,"2,6-Dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,0.6763,mm^2 s^-1,formula or correlation estimate,False,REF-0482,REF-0482,official software documentation,National Laboratory of the Rockies / FuelLib,,https://natlabrockies.github.io/FuelLib/fuelprops.html,FuelLib fuelprops documentation — Dutt equation for kinematic viscosity at 40 °C.,Dutt correlation evaluated for 40 degC,Correlation-derived value at 40 degC; not an experimental viscosity measurement.,not applicable,D,,reference registry mapping only
PV-00820,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.057,MJ kg^-1,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ΔHlow(kJ mol^-1)=431.4C+88.85H; NHOC=ΔHlow/M,Formula-only LHV model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9979 against its literature training set; treat as estimated, not calorimetric.",identity + property + reference matched to the audited prior provenance table
PV-00821,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,32.6242085,MJ L^-1,constructed from Y01 and Y03,False,REF-0001/REF-0004,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00822,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y03,Density,0.7405,g cm^-3,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected value at 20 °C,Original source label: Scifinder; flag: measured,reported,A,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00823,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-66.87,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,"Original source label: EPI Suite, Chemspider; flag: predicted",reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00824,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y05,Boiling point,158.85,degC,evaluated or compiled literature value,True,REF-0307,REF-0307,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2051301&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 7 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 7 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00825,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y06,Flash point,34.0,degC,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table flash-point value,Open/closed-cup method and record-level measurement conditions were not retained.,not reported,not reassessed,,reference registry mapping only
PV-00826,HC-0126,development,"2,6-Dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,0.8292,mm^2 s^-1,formula or correlation estimate,False,REF-0482,REF-0482,official software documentation,National Laboratory of the Rockies / FuelLib,,https://natlabrockies.github.io/FuelLib/fuelprops.html,FuelLib fuelprops documentation — Dutt equation for kinematic viscosity at 40 °C.,Dutt correlation evaluated for 40 degC,Correlation-derived value at 40 degC; not an experimental viscosity measurement.,not applicable,D,,reference registry mapping only
PV-00827,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.0,MJ kg^-1,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ΔHlow(kJ mol^-1)=431.4C+88.85H; NHOC=ΔHlow/M,Formula-only LHV model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9979 against its literature training set; treat as estimated, not calorimetric.",identity + property + reference matched to the audited prior provenance table
PV-00828,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,32.604,MJ L^-1,constructed from Y01 and Y03,False,REF-0001/REF-0004,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00829,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y03,Density,0.741,g cm^-3,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected value at 20 °C,Original source label: Scifinder; flag: predicted,reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00830,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-54.8,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,Original source label: EPI Suite Chemspider; flag: predicted,reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00831,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y05,Boiling point,182.3,degC,source database value; measurement status not resolved,False,REF-0004,REF-0004,official government-laboratory dataset export,NREL/LBNL,,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",Co-Optima selected property value,Original source label: Scifinder; flag: predicted,reported,B,Measured/predicted flag retained exactly from the NREL export.,identity + property + reference matched to the audited prior provenance table
PV-00832,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y06,Flash point,52.81,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
PV-00833,HC-0127,development,"2,7-Dimethylnonane",QYQSPINNJUXEDY-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,1.0225,mm^2 s^-1,formula or correlation estimate,False,REF-0482,REF-0482,official software documentation,National Laboratory of the Rockies / FuelLib,,https://natlabrockies.github.io/FuelLib/fuelprops.html,FuelLib fuelprops documentation — Dutt equation for kinematic viscosity at 40 °C.,Dutt correlation evaluated for 40 degC,Correlation-derived value at 40 degC; not an experimental viscosity measurement.,not applicable,D,,reference registry mapping only
PV-00834,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.019,MJ kg^-1,calculated from literature thermochemistry,True,REF-0308,REF-0308,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Mask=6,"Richards and Davis, 1920 Richards, T.W.; Davis, H.S., The heats of combustion of benzene, toluene, aliphatic alcohols, cyclohexanol, and other carbon compounds, J. Am. Chem. Soc., 1920, 42, 1599-1617. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L2_direct_HHV_converted_to_LHV): direct NIST liquid combustion enthalpy converted from H2O(l) to H2O(g),Reaction: HHV (H2O(l) products) converted to LHV (H2O(g) products); calculation: ΔcH°LHV = ΔcH°HHV + (22/2)×[ΔfH°H2O(g) - ΔfH°H2O(l)] = -6747.11 + 11×(-241.826 - -285.83) kJ/mol. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1920RIC%2FDAV1599-1617&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00835,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,32.667380279999996,MJ L^-1,constructed from Y01 and Y03,False,REF-0308/REF-0001,REF-0308,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Mask=6,"Richards and Davis, 1920 Richards, T.W.; Davis, H.S., The heats of combustion of benzene, toluene, aliphatic alcohols, cyclohexanol, and other carbon compounds, J. Am. Chem. Soc., 1920, 42, 1599-1617. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00836,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y03,Density,0.74212,g cm^-3,formula or correlation estimate,False,REF-0001,REF-0001,peer-reviewed method,American Chemical Society,10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",ρ = M / (16.03 + 7.01C + 4.80H),Formula-only molar-volume model; cannot distinguish structural isomers.,reported,C,"Fallback only. Model reported R²=0.9943 against its literature training set; treat as estimated, not experimental.",identity + property + reference matched to the audited prior provenance table
PV-00837,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-53.15,degC,evaluated or compiled literature value,True,REF-0309,REF-0309,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 6 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 6 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00838,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y05,Boiling point,159.95,degC,evaluated or compiled literature value,True,REF-0310,REF-0310,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 12 out of 14 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 12 out of 14 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00839,HC-0128,development,"2,7-Dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,Y06,Flash point,37.55,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
