legacy_sheet,legacy_row,legacy_name,legacy_formula,legacy_smiles,legacy_inchikey,Y02,current_index,record_id,molecule_name,molecular_formula,match_method,status,release_partition,source_claim_boundary
Training set (n=213),19,Tetralin,C10H12,C1CCCC2=CC=CC=C12,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,39.43,66.0,HC-0074,Tetralin,C10H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),20,Dicyclopentadiene (fuel 11),C10H12,C1C=CC2C3CC(C=C3)C12,HECLRDQVFMWTQS-UHFFFAOYSA-N,43.28,166.0,HC-0176,Dicyclopentadiene,C10H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),21,JP-10 (exo-tetrahydrodicyclopentadiene),C10H16,C1C[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1,LPSXSORODABQKT-FIRGSJFUSA-N,39.39,238.0,HC-0249,exo-Tetrahydrodicyclopentadiene,C10H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),23,"1,1'-Bicyclopentyl",C10H18,C1(CCCC1)C1CCCC1,MAWOHFOSAIXURX-UHFFFAOYSA-N,37.0,107.0,HC-0116,Dicyclopentyl,C10H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),25,Spiro[4.5]decane,C10H18,C1CCCC12CCCCC2,CTDQAGUNKPRERK-UHFFFAOYSA-N,37.17,184.0,HC-0195,Spiro(4.5)decane,C10H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),27,Pinane,C10H18,C12C(CCC(C1(C)C)C2)C,XOKSLPVRUOBDEW-UHFFFAOYSA-N,37.2,1.0,HC-0005,Pinane,C10H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),28,Sabinane (thujane),C10H18,C12(CCC(C1C2)C)C(C)C,GCTNBVHDRFKLLK-UHFFFAOYSA-N,35.05,109.0,HC-0118,Thujane,C10H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),33,1-Methylnaphthalene,C11H10,CC1=CC=CC2=CC=CC=C12,QPUYECUOLPXSFR-UHFFFAOYSA-N,40.29,68.0,HC-0076,1-Methylnaphthalene,C11H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),34,"4,7-Dimethylindane",C11H14,CC1=C2CCCC2=C(C=C1)C,IWHKMCQFAMHMSX-UHFFFAOYSA-N,38.86,201.0,HC-0212,"4,7-Dimethylindan",C11H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),35,5-Methyltetralin,C11H14,CC1=C2CCCCC2=CC=C1,YXOVIGZJPGLNGM-UHFFFAOYSA-N,39.75,153.0,HC-0162,"5-Methyl-1,2,3,4-tetrahydronaphthalene",C11H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),36,"Spiro[bicyclo[3.1.1]heptane-3,1'-cyclopentane]",C11H18,C12(CCCC1)CC1CC(C2)C1,BCQYQSWFXFMYEW-UHFFFAOYSA-N,40.18,284.0,HC-0295,"spiro[bicyclo[3.1.1]heptane-3,1'-cyclopentane]",C11H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),37,"Spiro[cyclopentane-1,2'-norbornane]",C11H18,C12C3(CC(CC1)C2)CCCC3,CHUXSKFZUPTQDX-UHFFFAOYSA-N,40.18,285.0,HC-0296,"Spiro[cyclopentane-1,2'-norbornane]",C11H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),39,Cyclopentylcyclohexane,C11H20,C1(CCCC1)C1CCCCC1,WVABZRMBCQFXBK-UHFFFAOYSA-N,38.0,183.0,HC-0194,Cyclopentylcyclohexane,C11H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),43,1-Ethylnaphthalene,C12H12,C(C)C1=CC=CC2=CC=CC=C12,ZMXIYERNXPIYFR-UHFFFAOYSA-N,40.18,169.0,HC-0180,1-Ethylnaphthalene,C12H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),45,1-Ethyladamantane,C12H20,C(C)C12CC3CC(CC(C1)C3)C2,LXTHCCWEYOKFSR-UHFFFAOYSA-N,40.2,235.0,HC-0246,1-Ethyladamantane,C12H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),48,2-Ethyladamantane,C12H20,C(C)C1C2CC3CC(CC1C3)C2,LIAWCKFOFPPVGF-UHFFFAOYSA-N,40.16,280.0,HC-0291,2-Ethyladamantane,C12H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),49,Bicyclohexyl,C12H22,C1(CCCCC1)C1CCCCC1,WVIIMZNLDWSIRH-UHFFFAOYSA-N,38.11,0.0,HC-0003,Bicyclohexyl,C12H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),50,Spiro[5.6]dodecane,C12H22,C1CCCCC12CCCCCC2,ZDNANLAHKKNCTC-UHFFFAOYSA-N,38.41,206.0,HC-0217,Spiro[5.6]dodecane,C12H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),53,Diphenylmethane,C13H12,C1(=CC=CC=C1)CC1=CC=CC=C1,CZZYITDELCSZES-UHFFFAOYSA-N,39.7,69.0,HC-0077,Diphenylmethane,C13H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),54,1-Propylnaphthalene,C13H14,C(CC)C1=CC=CC2=CC=CC=C12,HMAMGXMFMCAOPV-UHFFFAOYSA-N,39.76,170.0,HC-0181,1-Propylnaphthalene,C13H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),55,2-Propyladamantane,C13H22,C(CC)C1C2CC3CC(CC1C3)C2,HMUYSRNQYPLWHB-UHFFFAOYSA-N,39.22,281.0,HC-0292,2-Propyladamantane,C13H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),56,Perhydrofluorene (tetradecahydrofluorene),C13H22,C1CCCC2C3CCCCC3CC12,OLWAZOBRCQWWDB-UHFFFAOYSA-N,40.1,239.0,HC-0250,Perhydrofluorene,C13H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),59,1-Methylperhydrofluorene,C14H24,CC1CCCC2C3CCCCC3CC12,ILYLRDOKJRGSAL-UHFFFAOYSA-N,41.98,278.0,HC-0289,"1-methyl-2,3,4,4a,4b,5,6,7,8,8a,9,9a-dodecahydro-1H-fluorene",C14H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),62,"1,2-Dicyclohexylethane",C14H26,C1(CCCCC1)CCC1CCCCC1,IBLVSWYGUFGDMF-UHFFFAOYSA-N,37.67,98.0,HC-0107,"1,2-Dicyclohexylethane",C14H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),72,"1,1':3',1''-Tercyclopentane",C15H26,C1(CCCC1)C1CC(CC1)C1CCCC1,VUIQTOLVCLYLAF-UHFFFAOYSA-N,41.16,277.0,HC-0288,"1,3-Dicyclopentylcyclopentane",C15H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),77,"3-(Cyclohexylmethyl)-1,1'-bicyclopentyl",C17H30,C1(CCCCC1)CC1CC(CC1)C1CCCC1,AKDLLLIPMZDXSD-UHFFFAOYSA-N,39.4,275.0,HC-0286,(3-cyclopentylcyclopentyl)methylcyclohexane,C17H30,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),78,"1,1':3',1''-Tercyclohexyl (tricyclohexyl)",C18H32,C1(CCCCC1)C1CC(CCC1)C1CCCCC1,JBQRJHVXZMSLNH-UHFFFAOYSA-N,37.6,276.0,HC-0287,"1,1':3',1''-Tercyclohexane",C18H32,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),79,Hexane,C6H14,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,29.6,22.0,HC-0028,Hexane,C6H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),80,Heptane,C7H16,CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,30.66,20.0,HC-0026,Heptane,C7H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),82,Octane,C8H18,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,31.39,26.0,HC-0032,Octane,C8H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),83,Nonane,C9H20,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,31.99,24.0,HC-0030,Nonane,C9H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),86,Undecane,C11H24,CCCCCCCCCCC,RSJKGSCJYJTIGS-UHFFFAOYSA-N,32.86,31.0,HC-0037,Undecane,C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),87,Dodecane,C12H26,CCCCCCCCCCCC,SNRUBQQJIBEYMU-UHFFFAOYSA-N,33.2,17.0,HC-0023,Dodecane,C12H26,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),88,Tridecane,C13H28,CCCCCCCCCCCCC,IIYFAKIEWZDVMP-UHFFFAOYSA-N,33.48,30.0,HC-0036,Tridecane,C13H28,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),89,Tetradecane,C14H30,CCCCCCCCCCCCCC,BGHCVCJVXZWKCC-UHFFFAOYSA-N,33.74,29.0,HC-0035,Tetradecane,C14H30,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),90,Pentadecane,C15H32,CCCCCCCCCCCCCCC,YCOZIPAWZNQLMR-UHFFFAOYSA-N,33.94,27.0,HC-0033,Pentadecane,C15H32,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),91,Hexadecane,C16H34,CCCCCCCCCCCCCCCC,DCAYPVUWAIABOU-UHFFFAOYSA-N,34.14,21.0,HC-0027,Hexadecane,C16H34,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),92,Heptadecane,C17H36,CCCCCCCCCCCCCCCCC,NDJKXXJCMXVBJW-UHFFFAOYSA-N,34.31,19.0,HC-0025,Heptadecane,C17H36,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),93,Octadecane,C18H38,CCCCCCCCCCCCCCCCCC,RZJRJXONCZWCBN-UHFFFAOYSA-N,34.45,25.0,HC-0031,Octadecane,C18H38,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),94,Nonadecane,C19H40,CCCCCCCCCCCCCCCCCCC,LQERIDTXQFOHKA-UHFFFAOYSA-N,34.57,23.0,HC-0029,Nonadecane,C19H40,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),95,Eicosane,C20H42,CCCCCCCCCCCCCCCCCCCC,CBFCDTFDPHXCNY-UHFFFAOYSA-N,34.76,18.0,HC-0024,Eicosane,C20H42,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),96,2-Methylpentane,C6H14,CC(C)CCC,AFABGHUZZDYHJO-UHFFFAOYSA-N,29.3,12.0,HC-0017,2-Methylpentane,C6H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),98,"2,4-Dimethylpentane",C7H16,CC(C)CC(C)C,BZHMBWZPUJHVEE-UHFFFAOYSA-N,31.0,8.0,HC-0013,"2,4-Dimethylpentane",C7H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),99,2-Methylhexane,C7H16,CC(C)CCCC,GXDHCNNESPLIKD-UHFFFAOYSA-N,31.2,10.0,HC-0015,2-Methylhexane,C7H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),100,3-Ethylpentane,C7H16,C(C)C(CC)CC,AORMDLNPRGXHHL-UHFFFAOYSA-N,31.32,124.0,HC-0133,3-Ethylpentane,C7H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),101,"2,2,4-Trimethylpentane (isooctane)",C8H18,C(C)(C)CC(C)(C)C,NHTMVDHEPJAVLT-UHFFFAOYSA-N,30.8,3.0,HC-0008,"2,2,4-Trimethylpentane",C8H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),102,"2,3,3-Trimethylpentane",C8H18,CC(C)C(CC)(C)C,OKVWYBALHQFVFP-UHFFFAOYSA-N,32.4,114.0,HC-0123,"2,3,3-Trimethylpentane",C8H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),103,2-Methylheptane,C8H18,CC(C)CCCCC,JVSWJIKNEAIKJW-UHFFFAOYSA-N,31.1,9.0,HC-0014,2-Methylheptane,C8H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),104,3-Methylheptane,C8H18,CC(CC)CCCC,LAIUFBWHERIJIH-UHFFFAOYSA-N,31.52,13.0,HC-0018,3-Methylheptane,C8H18,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),105,"2,2,5-Trimethylhexane",C9H20,CC(C)(CCC(C)C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,31.42,4.0,HC-0009,"2,2,5-Trimethylhexane",C9H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),106,2-Methyloctane,C9H20,CC(C)CCCCCC,ZUBZATZOEPUUQF-UHFFFAOYSA-N,31.83,121.0,HC-0130,2-Methyloctane,C9H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),107,"2,2,4,4-Tetramethylpentane",C9H20,CC(C)(CC(C)(C)C)C,GUMULFRCHLJNDY-UHFFFAOYSA-N,31.3,112.0,HC-0121,"2,2,4,4-Tetramethylpentane",C9H20,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),110,2-Methylnonane,C10H22,CC(C)CCCCCCC,SGVYKUFIHHTIFL-UHFFFAOYSA-N,32.3,11.0,HC-0016,2-Methylnonane,C10H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),111,3-Methylnonane,C10H22,CC(CC)CCCCCC,PLZDDPSCZHRBOY-UHFFFAOYSA-N,32.59,125.0,HC-0134,3-Methylnonane,C10H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),112,"2,5-Dimethyloctane",C10H22,CC(C)CCC(CCC)C,HOAAQUNESXYFDT-UHFFFAOYSA-N,32.22,210.0,HC-0221,"2,5-Dimethyloctane",C10H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),113,"2,6-Dimethyloctane",C10H22,CC(C)CCCC(CC)C,ZALHPSXXQIPKTQ-UHFFFAOYSA-N,32.26,117.0,HC-0126,"2,6-Dimethyloctane",C10H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),114,"2,7-Dimethyloctane",C10H22,CC(C)CCCCC(C)C,KEVMYFLMMDUPJE-UHFFFAOYSA-N,32.18,119.0,HC-0128,"2,7-Dimethyloctane",C10H22,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),116,"2,2,6-Trimethyloctane",C11H24,CC(C)(CCCC(CC)C)C,NBIHFQKVSFKHGH-UHFFFAOYSA-N,32.9,255.0,HC-0266,"2,2,6-Trimethyloctane",C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),117,"2,2,7-Trimethyloctane",C11H24,CC(C)(CCCCC(C)C)C,QGQAHVJOBYNMFN-UHFFFAOYSA-N,33.0,256.0,HC-0267,"2,2,7-Trimethyloctane",C11H24,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
