reference_id,citation_or_web_title,doi,url,source_category,publisher_or_host,access_or_license_note
REF-0012,"PAC Chemical Database, U.S. Department of Energy",,https://emhub1.energy.gov/pacteel/search#107-39-1,PubChem source-linked experimental annotation,emhub1.energy.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0013,"Montgomery, Rossini, et al., 1978 Montgomery, R.L.; Rossini, F.D.; Mansson, M., Enthalpies of combustion, vaporization, and formation of phenylbenzene, cyclohexylbenzene, and cyclohexylcyclohexane; enthalpy of hydrogenation of certain aromatic systems, J. Chem. Eng. Data, 1978, 23, 125-129. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0014,"Prak, D. J. L.[Dianne J. Luning]; Cowart, J. S.[Jim S.]; Trulove, P. C.[Paul C.] (2016). Density and Viscosity from 293.15 to 373.15 K, Speed of Sound and Bulk Modulus from 293.15 to 343.15 K, Surface Tension, and Flash Point of Binary Mixtures of Bicyclohexyl and 1,2,3,4-Tetrahydronaphthalene or Trans-decahydronaphthalene at 0.1 MPa. J. Chem. Eng. Data 61, 650-661. https://doi.org/10.1021/acs.jced.5b00790",10.1021/acs.jced.5b00790,https://doi.org/10.1021/acs.jced.5b00790,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0015,NIST Chemistry WebBook evaluated fusion temperature: Average of 11 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0016,NIST Chemistry WebBook evaluated normal boiling point: Average of 8 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0017,"Gollis, Belenyessy, et al., 1962 Gollis, M.H.; Belenyessy, L.I.; Gudzinowicz, B.J.; Koch, S.D.; Smith, J.O.; Wineman, R.J., Evaluation of pure hydrocarbons as jet fuels, J. Chem. Eng. Data, 1962, 7, 331-316. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C91178&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0018,"Qin, X.[Xiaomei]; Cao, X.[Xiaofang]; Guo, Y.[Yongsheng]; Xu, L.[Li]; Hu, S.[Shenlin]; Fang, W.[Wenjun] (2014). Density, Viscosity, Surface Tension, and Refractive Index for Binary Mixtures of 1,3-Dimethyladamantane with Four C10 Alkanes. J. Chem. Eng. Data 59, 775-783. https://doi.org/10.1021/je4008926",10.1021/je4008926,https://doi.org/10.1021/je4008926,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0019,"Herz and Schuftan, 1922 Herz, W.; Schuftan, P., Physical-chemical investigations of tetralin and decalin., Z. Phys. Chem. (Leipzig), 1922, 101, 269. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C91178&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0020,"Aldrich Chemical Company Inc., 1990 Aldrich Chemical Company Inc., Catalog Handbook of Fine Chemicals, Aldrich Chemical Company, Inc., Milwaukee WI, 1990, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C91178&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0021,"Gollis, Belenyessy, et al., 1962 Gollis, M.H.; Belenyessy, L.I.; Gudzinowicz, B.J.; Koch, S.D.; Smith, J.O.; Wineman, R.J., Evaluation of pure hydrocarbons as jet fuels, J. Chem. Eng. Data, 1962, 7, 331-316. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0022,CAMEO Chemicals,,https://cameochemicals.noaa.gov/chemical/20927,PubChem source-linked experimental annotation,cameochemicals.noaa.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0023,"Timmermans, 1952 Timmermans, J., solid–liquid phase-transitions of organic compounds. VVI New determinations., Bull. Soc. Chim. Belg., 1952, 61, 393. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0024,"Pines, Hoffman, et al., 1954 Pines, H.; Hoffman, N.E.; Ipatieff, V.N., Studies in the Terpene Series XX. The Thermal Isomerization of Pinane at Atmospheric Pressure, J. Am. Chem. Soc., 1954, 76, 4412. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0025,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C464062&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0026,NIST Chemistry WebBook evaluated fusion temperature: Average of 17 out of 18 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C464062&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0027,NIST Chemistry WebBook evaluated normal boiling point: Average of 35 out of 37 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C464062&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0028,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C540841&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0029,"Yue, L.[Lei]; Qin, X.[Xiaomei]; Wu, X.[Xi]; Xu, L.[Li]; Guo, Y.[Yongsheng]; Fang, W.[Wenjun] (2015). Excess molar volume along with viscosity, refractive index and relative permittivity for binary mixtures of exo-tetrahydrodicyclopentadiene with four octane isomers. J. Chem. Thermodyn. 81, 26-33. https://doi.org/10.1016/j.jct.2014.09.015",10.1016/j.jct.2014.09.015,https://doi.org/10.1016/j.jct.2014.09.015,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0030,NIST Chemistry WebBook evaluated fusion temperature: Average of 37 out of 44 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C540841&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0031,NIST Chemistry WebBook evaluated normal boiling point: Average of 49 out of 52 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C540841&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0032,"Good, 1969 Good, W.D., Enthalpies of combustion and formation of 11 isomeric nonanes, J. Chem. Eng. Data, 1969, 14, 231-235. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3522949&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0033,"PAC Chemical Database, U.S. Department of Energy",,https://emhub1.energy.gov/pacteel/search#3522-94-9,PubChem source-linked experimental annotation,emhub1.energy.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0034,NIST Chemistry WebBook evaluated fusion temperature: Average of 8 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3522949&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0035,NIST Chemistry WebBook evaluated normal boiling point: Average of 19 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3522949&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0036,"Guerrero, H.[Hernando]; Garcia-Mardones, M.[Monica]; Perez-Gregorio, V.; Gascon, I.[Ignacio]; Lafuente, C.[Carlos] (2013). Experimental and VTPR-predicted volumetric properties of branched hexanes. Fluid Phase Equilib. 338, 141-147. https://doi.org/10.1016/j.fluid.2012.11.013",10.1016/j.fluid.2012.11.013,https://doi.org/10.1016/j.fluid.2012.11.013,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0037,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/75,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0038,"PAC Chemical Database, U.S. Department of Energy",,https://emhub1.energy.gov/pacteel/search#75-83-2,PubChem source-linked experimental annotation,emhub1.energy.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0039,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/76,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0040,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108087&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0041,"Guerrero-Zarate, D.[David]; Iglesias-Silva, G. A.[Gustavo A.]; Estrada-Baltazar, A.[Alejandro] (2019). P-r-T Data and Derivative Properties of 3-Methylpentane, 2,4-Dimethylpentane, and 2,3,4-Trimethylpentane from 283.15 to 363.15 K at Pressures up to 65 MPa. J. Chem. Eng. Data 64, 6020-6030. https://doi.org/10.1021/acs.jced.9b00846",10.1021/acs.jced.9b00846,https://doi.org/10.1021/acs.jced.9b00846,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0042,NIST Chemistry WebBook evaluated fusion temperature: Average of 27 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108087&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0043,NIST Chemistry WebBook evaluated normal boiling point: Average of 42 out of 48 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108087&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0044,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C592278&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0045,"Torin-Ollarves, G. A.[Geraldine A.]; Segovia, J. J.[Jose J.]; Martin, M. C.; Villamanan, M. A.[Miguel A.] (2012). Thermodynamic characterization of the mixture (1-butanol + iso-octane): Densities, viscosities, and isobaric heat capacities at high pressures. J. Chem. Thermodyn. 44, 75-83. https://doi.org/10.1016/j.jct.2011.08.012",10.1016/j.jct.2011.08.012,https://doi.org/10.1016/j.jct.2011.08.012,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0046,NIST Chemistry WebBook evaluated fusion temperature: Average of 14 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C592278&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0047,NIST Chemistry WebBook evaluated normal boiling point: Average of 37 out of 38 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C592278&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0048,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C591764&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0049,ILO-WHO International Chemical Safety Cards (ICSCs),,https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0658,PubChem source-linked experimental annotation,chemicalsafety.ilo.org,Source-specific property URL and source label retained from the selected database annotation.
REF-0050,NIST Chemistry WebBook evaluated fusion temperature: Average of 22 out of 23 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C591764&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0051,NIST Chemistry WebBook evaluated normal boiling point: Average of 44 out of 48 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C591764&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0052,"Moore, Renquist, et al., 1940 Moore, G.E.; Renquist, M.L.; Parks, G.S., Thermal data on organic compounds. XX. Modern combustion data for two methylnonanes, methyl ethyl ketone, thiophene and six cycloparaffins, J. Am. Chem. Soc., 1940, 62, 1505-1507. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C871830&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0053,"Prak, D. J. L.[Dianne J. Luning]; Brown, E. K.[Eva K.]; Trulove, P. C.[Paul C.] (2013). Density, Viscosity, Speed of Sound, and Bulk Modulus of Methyl Alkanes, Dimethyl Alkanes, and Hydrotreated Renewable Fuels. J. Chem. Eng. Data 58, 2065-2075. https://doi.org/10.1021/je400274f",10.1021/je400274f,https://doi.org/10.1021/je400274f,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0054,"Mears, Fookson, et al., 1950 Mears, T.W.; Fookson, A.; Pomerantz, P.; Rich, E.H.; Dussinger, C.S.; Howard, F.L., Syntheses and Properties of Two Olefins, Six Paraffins, and Their Intermediates, J. Res. Natl. Bur. Stand. (U. S.), 1950, 44, 299. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C871830&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0055,"Weast and Grasselli, 1989 CRC Handbook of Data on Organic Compounds, 2nd Editon, Weast,R.C and Grasselli, J.G., ed(s)., CRC Press, Inc., Boca Raton, FL, 1989, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C871830&Units=SI&Mask=6,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0056,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C107835&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0057,NIST Chemistry WebBook evaluated fusion temperature: Average of 21 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C107835&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0058,NIST Chemistry WebBook evaluated normal boiling point: Average of 71 out of 73 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C107835&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0059,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C589811&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0060,NIST Chemistry WebBook evaluated fusion temperature: Average of 15 out of 16 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C589811&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0061,NIST Chemistry WebBook evaluated normal boiling point: Average of 27 out of 28 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C589811&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0062,"Williams-Wynn, Mark D.; Naidoo, Paramespri; Ramjugernath, Deresh (2018). Isothermal vapour-liquid equilibrium data for binary systems of (CHF3 or C2F6) with (1-hexene or 3-methylpentane). J. Chem. Thermodyn. 121, 79-90. https://doi.org/10.1016/j.jct.2017.12.002",10.1016/j.jct.2017.12.002,https://doi.org/10.1016/j.jct.2017.12.002,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0063,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5300,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0064,"PAC Chemical Database, U.S. Department of Energy",,https://emhub1.energy.gov/pacteel/search#96-14-0,PubChem source-linked experimental annotation,emhub1.energy.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0065,"PAC Chemical Database, U.S. Department of Energy",,https://emhub1.energy.gov/pacteel/search#78-78-4,PubChem source-linked experimental annotation,emhub1.energy.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0066,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/618,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0067,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C124185&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
